line,station_name,year_opened,is_interchange,Latitude,Longitude
NS,BUKIT GOMBAK MRT STATION SINGAPORE,Mar-90,0,1.3590369,103.7518278
NS,CHOA CHU KANG MRT STATION SINGAPORE,Mar-90,0,1.3853846,103.7443373
NS,YEW TEE MRT STATION SINGAPORE,Feb-96,0,1.3973289,103.7475018
NS,KRANJI MRT STATION SINGAPORE,Feb-96,0,1.4252268,103.7620278
NS,MARSILING MRT STATION SINGAPORE,Feb-96,0,1.4325578,103.7741607
NS,WOODLANDS MRT STATION SINGAPORE,Feb-96,0,1.4369451,103.7865159
NS,ADMIRALTY MRT STATION SINGAPORE,Feb-96,0,1.440613,103.8009629
NS,SEMBAWANG MRT STATION SINGAPORE,Feb-96,0,1.44909,103.820049
NS,YISHUN MRT STATION SINGAPORE,Dec-88,0,1.4295484,103.8350332
NS,KHATIB MRT STATION SINGAPORE,Dec-88,0,1.4173483,103.8329731
NS,YIO CHU KANG MRT STATION SINGAPORE,Nov-87,0,1.3817217,103.844934
NS,ANG MO KIO MRT STATION SINGAPORE,Nov-87,0,1.3699718,103.8495876
NS,BISHAN MRT STATION SINGAPORE,Nov-87,1,1.3508449,103.8481737
NS,BRADDELL MRT STATION SINGAPORE,Nov-87,0,1.3405397,103.8470762
NS,TOA PAYOH MRT STATION SINGAPORE,Nov-87,0,1.3323297,103.8474252
NS,NOVENA MRT STATION SINGAPORE,Dec-87,0,1.3200248,103.8433833
NS,NEWTON MRT STATION SINGAPORE,Dec-87,1,1.3137897,103.8377317
NS,ORCHARD MRT STATION SINGAPORE,Dec-87,1,1.3040084,103.831781
NS,SOMERSET MRT STATION SINGAPORE,Dec-87,0,1.3004441,103.8384389
NS,DHOBY GHAUT MRT STATION SINGAPORE,Dec-87,1,1.2990936,103.8457886
NS,CITY HALL MRT STATION SINGAPORE,Dec-87,1,1.293076,103.8520677
NS,RAFFLES PLACE MRT STATION SINGAPORE,Dec-87,1,1.2839687,103.8515395
NS,MARINA BAY MRT STATION SINGAPORE,Dec-89,1,1.2765211,103.8547012
NS,MARINA SOUTH PIER MRT STATION SINGAPORE,Nov-14,0,1.2714087,103.863631
CC,HARBOURFRONT MRT STATION SINGAPORE,Oct-11,1,1.2656038,103.8208568
CC,TELOK BLANGAH MRT STATION SINGAPORE,Oct-11,0,1.2707152,103.809878
CC,LABRADOR PARK MRT STATION SINGAPORE,Oct-11,0,1.2721259,103.8025575
CC,PASIR PANJANG MRT STATION SINGAPORE,Oct-11,0,1.2760684,103.7919037
CC,HAW PAR VILLA MRT STATION SINGAPORE,Oct-11,0,1.283106,103.7819799
CC,KENT RIDGE MRT STATION SINGAPORE,Oct-11,0,1.2935861,103.7844513
CC,ONE-NORTH MRT STATION SINGAPORE,Oct-11,0,1.2998113,103.7875947
CC,BUONA VISTA MRT STATION SINGAPORE,Oct-11,1,1.3072937,103.7900463
CC,HOLLAND VILLAGE MRT STATION SINGAPORE,Oct-11,0,1.3111457,103.7961408
CC,FARRER ROAD MRT STATION SINGAPORE,Oct-11,0,1.3175741,103.807711
CC,BOTANIC GARDENS MRT STATION SINGAPORE,Oct-11,1,1.3223117,103.8149268
CC,CALDECOTT MRT STATION SINGAPORE,Oct-11,0,1.3375953,103.8396058
CC,MARYMOUNT MRT STATION SINGAPORE,May-09,0,1.3490142,103.8390947
CC,BISHAN MRT STATION SINGAPORE,May-09,1,1.3508449,103.8481737
CC,LORONG CHUAN MRT STATION SINGAPORE,May-09,0,1.3514978,103.8649467
CC,SERANGOON MRT STATION SINGAPORE,May-09,1,1.3497872,103.8736348
CC,BARTLEY MRT STATION SINGAPORE,May-09,0,1.3428695,103.8796386
CC,TAI SENG MRT STATION SINGAPORE,Apr-10,0,1.3358756,103.8877164
CC,MACPHERSON MRT STATION SINGAPORE,Apr-10,1,1.3267049,103.8898898
CC,PAYA LEBAR MRT STATION SINGAPORE,Apr-10,1,1.3181607,103.8931436
CC,DAKOTA MRT STATION SINGAPORE,Apr-10,0,1.30841,103.888814
CC,MOUNTBATTEN MRT STATION SINGAPORE,Apr-10,0,1.3060844,103.8831531
CC,STADIUM MRT STATION SINGAPORE,Apr-10,0,1.3027829,103.8754063
CC,NICOLL HIGHWAY MRT STATION SINGAPORE,Apr-10,0,1.3002063,103.8634707
CC,PROMENADE MRT STATION SINGAPORE,Apr-10,1,1.2939988,103.8601773
CC,ESPLANADE MRT STATION SINGAPORE,Apr-10,0,1.2939413,103.8553744
CC,BRAS BASAH MRT STATION SINGAPORE,Apr-10,0,1.2969461,103.8507366
CC,DHOBY GHAUT MRT STATION SINGAPORE,Apr-10,0,1.2990936,103.8457886
CE,BAYFRONT MRT STATION SINGAPORE,Jan-12,1,1.2813386,103.8589551
CE,MARINA BAY MRT STATION SINGAPORE,Jan-12,1,1.2765211,103.8547012
NE,HARBOURFRONT MRT STATION SINGAPORE,Jun-03,1,1.2656038,103.8208568
NE,OUTRAM PARK MRT STATION SINGAPORE,Jun-03,1,1.2802438,103.8394591
NE,CHINATOWN MRT STATION SINGAPORE,Jun-03,1,1.2844913,103.8435939
NE,CLARKE QUAY MRT STATION SINGAPORE,Jun-03,0,1.2881554,103.8467181
NE,DHOBY GHAUT MRT STATION SINGAPORE,Jun-03,1,1.2990936,103.8457886
NE,LITTLE INDIA MRT STATION SINGAPORE,Jun-03,1,1.3066479,103.8494066
NE,FARRER PARK MRT STATION SINGAPORE,Jun-03,0,1.3126142,103.8548616
NE,BOON KENG MRT STATION SINGAPORE,Jun-03,0,1.3200375,103.861623
NE,POTONG PASIR MRT STATION SINGAPORE,Jun-03,0,1.3311575,103.8690734
NE,WOODLEIGH MRT STATION SINGAPORE,Jun-11,0,1.3391274,103.8707373
NE,SERANGOON MRT STATION SINGAPORE,Jun-03,1,1.3497872,103.8736348
NE,KOVAN MRT STATION SINGAPORE,Jun-03,0,1.360175,103.8851627
NE,HOUGANG MRT STATION SINGAPORE,Jun-03,0,1.3713312,103.8925439
NE,BUANGKOK MRT STATION SINGAPORE,Jan-06,0,1.3829481,103.8933582
NE,SENGKANG MRT STATION SINGAPORE,Jun-03,0,1.3916609,103.8954533
NE,PUNGGOL MRT STATION SINGAPORE,Jun-03,0,1.40517,103.9023559
