,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,full_address
11308,4,1992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832A JURONG WEST ST 81 Singapore
11309,11,1990,1,0,0,0,0,0,57,0,0,0,0,0,57,0,0,0,0,0,0,833 HOUGANG CTRL Singapore
11310,15,1992,1,0,0,0,0,0,80,0,0,0,38,42,0,0,0,0,0,0,0,833 JURONG WEST ST 81 Singapore
11311,13,1984,1,0,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,833 TAMPINES ST 83 Singapore
11312,4,1987,1,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,833 WOODLANDS ST 83 Singapore
11313,12,1987,1,0,0,0,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,833 YISHUN ST 81 Singapore
11314,11,1990,1,0,0,0,0,0,63,0,0,0,0,0,63,0,0,0,0,0,0,834 HOUGANG CTRL Singapore
11315,15,1992,1,0,0,0,0,0,84,0,0,0,28,56,0,0,0,0,0,0,0,834 JURONG WEST ST 81 Singapore
11316,4,1985,1,0,0,0,0,0,16,0,0,8,8,0,0,0,0,0,0,0,0,834 TAMPINES ST 82 Singapore
11317,12,1986,1,1,0,0,0,0,65,0,0,12,8,0,45,0,0,0,0,0,0,834 WOODLANDS ST 83 Singapore
11318,11,1987,1,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,834 YISHUN ST 81 Singapore
11319,19,1991,1,0,0,0,0,0,82,0,0,0,72,10,0,0,0,0,0,0,0,835 HOUGANG CTRL Singapore
11320,12,1989,1,1,0,0,0,0,88,0,0,0,48,40,0,0,0,0,0,0,0,835 JURONG WEST ST 81 Singapore
11321,4,1985,1,1,0,0,0,0,16,0,0,12,4,0,0,0,0,0,0,0,0,835 TAMPINES ST 83 Singapore
11322,12,1986,1,0,0,0,0,0,65,0,0,12,8,0,45,0,0,0,0,0,0,835 WOODLANDS ST 83 Singapore
11323,4,1987,1,0,0,0,0,0,24,0,0,0,18,6,0,0,0,0,0,0,0,835 YISHUN ST 81 Singapore
11324,16,1995,1,0,0,1,0,0,87,0,0,0,35,52,0,0,0,0,0,0,0,836 HOUGANG CTRL Singapore
11325,15,1992,1,1,0,0,0,0,119,0,0,0,70,49,0,0,0,0,0,0,0,836 JURONG WEST ST 81 Singapore
11326,13,1984,1,0,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,836 TAMPINES ST 82 Singapore
11327,11,1994,1,0,0,0,0,0,64,0,0,0,17,47,0,0,0,0,0,0,0,836 WOODLANDS ST 83 Singapore
11328,11,1987,1,0,0,0,0,0,60,0,0,0,0,0,60,0,0,0,0,0,0,836 YISHUN ST 81 Singapore
11329,16,1995,1,1,0,0,0,0,109,0,0,0,44,65,0,0,0,0,0,0,0,837 HOUGANG CTRL Singapore
11330,15,1992,1,0,0,1,0,0,91,0,0,0,41,50,0,0,0,0,0,0,0,837 JURONG WEST ST 81 Singapore
11331,13,1984,1,0,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,837 TAMPINES ST 83 Singapore
11332,4,1986,1,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,837 WOODLANDS ST 82 Singapore
11333,4,1987,1,1,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,837 YISHUN ST 81 Singapore
11334,1,1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,837A JURONG WEST ST 81 Singapore
11335,16,1995,1,0,0,0,0,0,117,0,0,0,52,65,0,0,0,0,0,0,0,838 HOUGANG CTRL Singapore
11336,12,1989,1,1,0,0,0,0,88,0,0,0,48,40,0,0,0,0,0,0,0,838 JURONG WEST ST 81 Singapore
11337,13,1984,1,0,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,838 TAMPINES ST 82 Singapore
11338,4,1986,1,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,0,0,0,838 WOODLANDS ST 82 Singapore
11339,12,1987,1,0,0,1,0,0,99,0,0,0,59,40,0,0,0,0,0,0,0,838 YISHUN ST 81 Singapore
11340,5,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838A HOUGANG CTRL Singapore
11341,15,1992,1,0,0,0,0,0,84,0,0,0,56,28,0,0,0,0,0,0,0,839 JURONG WEST ST 81 Singapore
11342,13,1984,1,0,0,1,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,839 TAMPINES ST 83 Singapore
11343,12,1994,1,0,0,0,0,0,77,0,0,0,44,33,0,0,0,0,0,0,0,839 WOODLANDS ST 82 Singapore
11344,12,1987,1,0,0,1,0,0,132,0,0,66,66,0,0,0,0,0,0,0,0,839 YISHUN ST 81 Singapore
11345,5,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839A WOODLANDS ST 82 Singapore
11346,4,1977,1,1,0,0,0,0,71,0,0,62,8,1,0,0,0,0,0,0,0,84 BEDOK NTH ST 4 Singapore
11347,10,1964,1,0,0,0,0,0,74,0,8,60,6,0,0,0,0,0,0,0,0,84 C'WEALTH CL Singapore
11348,13,1994,1,0,0,0,0,0,87,0,0,0,63,24,0,0,0,0,0,0,0,84 LOR 2 TOA PAYOH Singapore
11349,1,1976,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84 MARINE PARADE CTRL Singapore
11350,2,1972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84 REDHILL LANE Singapore
11351,20,1981,1,0,0,0,0,0,76,0,0,0,0,76,0,0,0,0,0,0,0,84 TELOK BLANGAH HTS Singapore
11352,20,1973,1,0,0,0,0,0,76,0,0,0,76,0,0,0,0,0,0,0,0,84 WHAMPOA DR Singapore
11353,5,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84A C'WEALTH CL Singapore
11354,25,1995,1,0,0,0,0,0,72,0,0,0,24,48,0,0,0,0,0,0,0,84A LOR 2 TOA PAYOH Singapore
11355,25,1995,1,0,0,0,0,0,82,0,0,0,34,48,0,0,0,0,0,0,0,84B LOR 2 TOA PAYOH Singapore
11356,5,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84C LOR 2 TOA PAYOH Singapore
11357,9,1992,1,1,0,0,0,0,80,0,0,0,32,48,0,0,0,0,0,0,0,840 JURONG WEST ST 81 Singapore
11358,11,1985,1,1,0,1,0,0,124,0,0,0,72,52,0,0,0,0,0,0,0,840 TAMPINES ST 82 Singapore
11359,12,1985,1,0,0,0,0,0,114,0,0,0,114,0,0,0,0,0,0,0,0,840 WOODLANDS ST 82 Singapore
11360,12,1987,1,0,0,1,0,0,132,0,0,66,66,0,0,0,0,0,0,0,0,840 YISHUN ST 81 Singapore
11361,5,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840A YISHUN ST 81 Singapore
11362,15,1992,1,0,0,0,0,0,55,0,0,0,0,0,55,0,0,0,0,0,0,841 JURONG WEST ST 81 Singapore
11363,11,1985,1,1,0,0,0,0,124,0,0,0,72,52,0,0,0,0,0,0,0,841 TAMPINES ST 83 Singapore
11364,12,1994,1,0,0,0,0,0,66,0,0,0,33,33,0,0,0,0,0,0,0,841 WOODLANDS ST 82 Singapore
11365,12,1987,1,0,0,0,0,0,99,0,0,0,59,40,0,0,0,0,0,0,0,841 YISHUN ST 81 Singapore
11366,5,1992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841A JURONG WEST ST 81 Singapore
11367,15,1992,1,0,0,0,0,0,55,0,0,0,0,0,55,0,0,0,0,0,0,842 JURONG WEST ST 81 Singapore
11368,19,1985,1,0,0,1,0,0,72,0,0,0,0,0,72,0,0,0,0,0,0,842 SIMS AVE Singapore
11369,11,1985,1,1,0,1,0,0,124,0,0,0,72,52,0,0,0,0,0,0,0,842 TAMPINES ST 82 Singapore
11370,12,1985,1,1,0,0,0,0,136,0,0,0,136,0,0,0,0,0,0,0,0,842 WOODLANDS ST 82 Singapore
11371,6,1993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842A TAMPINES ST 82 Singapore
11372,16,1993,1,0,0,1,0,0,132,0,0,0,61,71,0,0,0,0,0,0,0,842B TAMPINES ST 82 Singapore
11373,16,1993,1,0,0,1,0,0,94,0,0,0,38,56,0,0,0,0,0,0,0,842C TAMPINES ST 82 Singapore
11374,16,1993,1,0,0,0,0,0,97,0,0,0,52,45,0,0,0,0,0,0,0,842D TAMPINES ST 82 Singapore
11375,16,1994,1,0,0,0,0,0,82,0,0,0,26,56,0,0,0,0,0,0,0,842E TAMPINES ST 82 Singapore
11376,16,1993,1,0,0,0,0,0,69,0,0,0,26,43,0,0,0,0,0,0,0,842F TAMPINES ST 82 Singapore
11377,16,1994,1,0,0,1,0,0,135,0,0,0,79,56,0,0,0,0,0,0,0,842G TAMPINES ST 82 Singapore
11378,16,1994,1,1,0,0,0,0,132,0,0,0,61,71,0,0,0,0,0,0,0,842H TAMPINES ST 82 Singapore
11379,15,1992,1,0,0,0,0,0,70,0,0,0,28,42,0,0,0,0,0,0,0,843 JURONG WEST ST 81 Singapore
11380,11,1986,1,1,0,0,0,0,124,0,0,0,72,52,0,0,0,0,0,0,0,843 TAMPINES ST 83 Singapore
11381,12,1985,1,0,0,0,0,0,136,0,0,0,136,0,0,0,0,0,0,0,0,843 WOODLANDS ST 82 Singapore
11382,8,1994,1,0,0,0,0,0,49,0,0,0,28,21,0,0,0,0,0,0,0,844 JURONG WEST ST 81 Singapore
11383,4,1985,1,1,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,844 SIMS AVE Singapore
11384,4,1985,1,1,0,0,0,0,18,0,0,12,5,1,0,0,0,0,0,0,0,844 TAMPINES ST 82 Singapore
11385,12,1994,1,0,0,0,0,0,66,0,0,0,22,44,0,0,0,0,0,0,0,844 WOODLANDS AVE 4 Singapore
11386,12,1988,1,1,0,0,0,0,88,0,0,0,48,40,0,0,0,0,0,0,0,844 YISHUN ST 81 Singapore
11387,5,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844A JURONG WEST ST 81 Singapore
11388,14,1994,1,1,0,0,0,0,86,0,0,0,59,27,0,0,0,0,0,0,0,845 JURONG WEST ST 81 Singapore
